name,category,description,price,unit,availability,seasonStart,seasonEnd,best_before,food_miles,stock,stock_alert_threshold,allergens,organic,surplus,discount_percentage,discount_expiry,discount note,images,producer_id
Product 129,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",6.01,pcs,unavailable,december,april,2026-03-24,48,53,,,True,True,0,,,,749e4f73-7843-4c80-adf6-b9ddacd05dec
Product 130,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",5.13,pcs,available all year,june,january,2026-03-23,19,143,,,True,True,0,,,,b7964ffe-eae4-4d17-8115-34f94eddf200
Product 131,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",16.93,kg,available,january,march,2026-04-04,50,404,,,True,True,0,,,,1ad46d36-5161-4ebf-8b28-06dc44979811
Product 132,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,9.47,pcs,available,january,october,2026-03-31,50,116,,,True,True,0,,,,845fecea-652d-438b-a768-5d10524ac147
Product 133,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",14.35,pcs,available,september,october,2026-03-30,14,437,,,True,True,0,,,,65f5e1bd-32f1-40ce-91de-dcbcfcf3a547
Product 134,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",35.99,l,available all year,october,april,2026-03-23,17,429,,,True,True,0,,,,962b7ead-f211-49db-8da9-6470babcf6f3
Product 135,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",42.95,pcs,available all year,july,july,2026-04-02,7,421,,,True,True,0,,,,2031ebcc-284d-4e8c-9c1e-e95c77f79fbb
Product 136,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",4.49,pcs,available all year,may,september,2026-03-26,44,332,,,True,True,0,,,,c72cf02a-9486-46a8-bffc-b01e58eb9432
Product 137,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",2.56,pcs,unavailable,december,february,2026-03-23,22,72,,,True,True,0,,,,5a492b54-b2c5-4769-b74f-7dafeb6aaaf7
Product 138,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",9.65,pcs,available,october,october,2026-03-30,25,359,,,True,True,0,,,,5978bb78-e298-4206-8dc2-e0ae87ec61ac
Product 139,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,11.91,dozen,available all year,september,june,2026-03-27,3,324,,,True,True,0,,,,1ad46d36-5161-4ebf-8b28-06dc44979811
Product 140,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",21.48,kg,available,august,march,2026-04-02,25,80,,,True,True,0,,,,65f5e1bd-32f1-40ce-91de-dcbcfcf3a547
Product 141,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",32.09,pcs,available,april,october,2026-03-25,35,410,,,True,True,0,,,,62548cdc-50c7-47df-ad1a-597d7fadc5cf
Product 142,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",20.34,dozen,available all year,august,february,2026-03-31,2,468,,,True,True,0,,,,19c8e589-2a62-49a6-b3fe-209cbb134108
Product 143,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",27.18,pcs,available,august,february,2026-03-27,43,133,,,True,True,0,,,,19c8e589-2a62-49a6-b3fe-209cbb134108
Product 144,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,29.42,pcs,unavailable,october,december,2026-03-25,38,172,,,True,True,0,,,,20da7f93-20bd-4338-90bb-adffd8db3392
Product 145,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",47.46,l,available all year,june,july,2026-04-04,35,168,,,True,True,0,,,,962b7ead-f211-49db-8da9-6470babcf6f3
Product 146,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",5.88,pcs,available all year,february,april,2026-04-02,1,179,,,True,True,0,,,,2031ebcc-284d-4e8c-9c1e-e95c77f79fbb
Product 147,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",36.27,kg,available,may,november,2026-03-28,50,66,,,True,True,0,,,,cab2b370-11e5-4a9f-8f72-961dc06ea8d1
Product 148,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",35.67,l,available all year,july,september,2026-04-03,20,175,,,True,True,0,,,,5978bb78-e298-4206-8dc2-e0ae87ec61ac
Product 149,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,39.9,pcs,available all year,july,april,2026-03-23,15,350,,,True,True,0,,,,d7625810-9748-4ad1-a1ad-58e8e50958f5
Product 150,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",37.1,pcs,unavailable,september,march,2026-03-25,50,300,,,True,True,0,,,,845fecea-652d-438b-a768-5d10524ac147
Product 151,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",46.17,l,available all year,november,february,2026-03-31,10,179,,,True,True,0,,,,d7625810-9748-4ad1-a1ad-58e8e50958f5
Product 152,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",49.15,dozen,available,january,august,2026-03-30,17,117,,,True,True,0,,,,9f714f07-81b3-41c2-8f92-313b27f97a2e
Product 153,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",13.95,kg,unavailable,july,november,2026-04-02,47,224,,,True,True,0,,,,4eac4993-e32a-475b-9b79-1be50ecaf713
Product 154,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",44.27,pcs,available all year,june,june,2026-03-24,37,343,,,True,True,0,,,,c705a564-c9e1-488b-a283-5ad891e8e974
Product 155,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,5.07,kg,unavailable,april,january,2026-03-23,7,47,,,True,True,0,,,,4aa838c4-e4e4-45a4-90f1-dd5a9d636ea2
Product 156,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",9.3,kg,unavailable,april,october,2026-04-03,46,25,,,True,True,0,,,,fb31e762-bf68-4480-9634-e4b79f5f8165
Product 157,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,9.12,pcs,available all year,september,february,2026-03-26,45,293,,,True,True,0,,,,8c2db7c5-1f29-4fcb-a654-8fb09102f872
Product 158,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",13.02,l,available,january,may,2026-03-29,10,37,,,True,True,0,,,,fb31e762-bf68-4480-9634-e4b79f5f8165
Product 159,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",5.75,pcs,available all year,november,may,2026-03-27,2,115,,,True,True,0,,,,19c8e589-2a62-49a6-b3fe-209cbb134108
Product 160,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,24.47,pcs,available,october,september,2026-03-29,43,145,,,True,True,0,,,,69d51ec4-20e7-4886-82df-a8de3a19c3f1
Product 161,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,19.49,pcs,available all year,september,february,2026-03-29,17,235,,,True,True,0,,,,cab2b370-11e5-4a9f-8f72-961dc06ea8d1
Product 162,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",42.1,pcs,available,september,june,2026-03-30,43,186,,,True,True,0,,,,bd7e61bc-a3c5-4b24-ba0e-2f0ca9ed1e31
Product 163,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",42.28,l,unavailable,april,january,2026-03-29,31,163,,,True,True,0,,,,749e4f73-7843-4c80-adf6-b9ddacd05dec
Product 164,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",25.85,l,available,december,november,2026-03-31,49,239,,,True,True,0,,,,c72cf02a-9486-46a8-bffc-b01e58eb9432
Product 165,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",40.71,pcs,available all year,may,february,2026-03-25,13,431,,,True,True,0,,,,bd7e61bc-a3c5-4b24-ba0e-2f0ca9ed1e31
Product 166,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",45.67,pcs,available all year,december,july,2026-04-03,36,176,,,True,True,0,,,,cfb8da7b-e9b4-4076-9c07-3d624259e553
Product 167,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",39.65,l,available all year,september,september,2026-03-27,27,86,,,True,True,0,,,,b7964ffe-eae4-4d17-8115-34f94eddf200
Product 168,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,28.79,l,unavailable,january,october,2026-03-23,17,206,,,True,True,0,,,,9fc10073-afee-4267-8fa5-7dd157f06ca2
Product 169,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",9.85,l,unavailable,december,october,2026-04-03,3,212,,,True,True,0,,,,20da7f93-20bd-4338-90bb-adffd8db3392
Product 170,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,37.67,kg,available,october,june,2026-03-26,20,153,,,True,True,0,,,,962b7ead-f211-49db-8da9-6470babcf6f3
Product 171,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,8.02,dozen,available,april,december,2026-03-26,13,236,,,True,True,0,,,,1ad46d36-5161-4ebf-8b28-06dc44979811
Product 172,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",38.34,l,available,may,may,2026-04-02,20,373,,,True,True,0,,,,dff66558-81ab-41b1-8cd9-a469b02650d1
Product 173,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",9.93,pcs,available all year,october,september,2026-04-01,4,480,,,True,True,0,,,,20da7f93-20bd-4338-90bb-adffd8db3392
Product 174,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",19.37,pcs,available all year,june,december,2026-03-27,16,200,,,True,True,0,,,,845fecea-652d-438b-a768-5d10524ac147
Product 175,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",48.09,l,available all year,june,december,2026-04-04,11,438,,,True,True,0,,,,845fecea-652d-438b-a768-5d10524ac147
Product 176,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",2.83,l,available all year,february,august,2026-03-23,42,125,,,True,True,0,,,,65f5e1bd-32f1-40ce-91de-dcbcfcf3a547
Product 177,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",26.39,pcs,unavailable,july,november,2026-04-01,39,420,,,True,True,0,,,,c705a564-c9e1-488b-a283-5ad891e8e974
Product 178,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,31.0,pcs,unavailable,may,october,2026-04-02,30,139,,,True,True,0,,,,ab6d581f-a324-419f-91aa-b687a1b3cee3
Product 179,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",34.34,l,available,november,march,2026-03-24,33,349,,,True,True,0,,,,b221a661-d2cb-4532-8f89-f615b3045b99
Product 180,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",34.69,dozen,available,january,august,2026-04-03,18,143,,,True,True,0,,,,9f714f07-81b3-41c2-8f92-313b27f97a2e
Product 181,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",26.59,l,available,january,may,2026-03-29,44,81,,,True,True,0,,,,20da7f93-20bd-4338-90bb-adffd8db3392
Product 182,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",14.08,pcs,available,february,february,2026-03-31,22,381,,,True,True,0,,,,dff66558-81ab-41b1-8cd9-a469b02650d1
Product 183,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",26.1,pcs,available,november,december,2026-04-03,31,75,,,True,True,0,,,,69d51ec4-20e7-4886-82df-a8de3a19c3f1
Product 184,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,33.24,pcs,available,june,november,2026-03-30,22,200,,,True,True,0,,,,ab6d581f-a324-419f-91aa-b687a1b3cee3
Product 185,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",42.78,l,unavailable,february,october,2026-04-04,31,465,,,True,True,0,,,,b221a661-d2cb-4532-8f89-f615b3045b99
Product 186,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",27.2,pcs,available all year,april,april,2026-03-24,22,219,,,True,True,0,,,,34ddc4d2-34dd-46d6-8063-207a654ceb58
Product 187,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",43.33,pcs,available,november,may,2026-04-04,21,334,,,True,True,0,,,,cab2b370-11e5-4a9f-8f72-961dc06ea8d1
Product 188,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",14.77,pcs,unavailable,august,july,2026-03-27,9,324,,,True,True,0,,,,8227edfc-f293-4376-8ce4-f3d2b0e1a509
Product 189,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",22.31,kg,unavailable,august,may,2026-04-03,47,201,,,True,True,0,,,,c72cf02a-9486-46a8-bffc-b01e58eb9432
Product 190,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",2.37,pcs,unavailable,july,august,2026-04-01,9,62,,,True,True,0,,,,b7964ffe-eae4-4d17-8115-34f94eddf200
Product 191,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,4.67,dozen,available,june,july,2026-03-27,28,464,,,True,True,0,,,,dff66558-81ab-41b1-8cd9-a469b02650d1
Product 192,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",18.92,pcs,unavailable,october,march,2026-03-29,15,382,,,True,True,0,,,,1ad46d36-5161-4ebf-8b28-06dc44979811
Product 193,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",30.1,dozen,available,july,march,2026-03-27,41,140,,,True,True,0,,,,cfb8da7b-e9b4-4076-9c07-3d624259e553
Product 194,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",33.2,kg,available all year,november,april,2026-03-24,25,73,,,True,True,0,,,,845fecea-652d-438b-a768-5d10524ac147
Product 195,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",11.47,dozen,unavailable,july,december,2026-03-26,43,276,,,True,True,0,,,,8c2db7c5-1f29-4fcb-a654-8fb09102f872
Product 196,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",41.79,l,available,july,july,2026-03-30,8,411,,,True,True,0,,,,4aa838c4-e4e4-45a4-90f1-dd5a9d636ea2
Product 197,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",31.04,pcs,available,january,march,2026-03-25,19,92,,,True,True,0,,,,dff66558-81ab-41b1-8cd9-a469b02650d1
Product 198,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,34.88,pcs,available,march,january,2026-04-03,43,55,,,True,True,0,,,,4eac4993-e32a-475b-9b79-1be50ecaf713
Product 199,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",47.55,kg,available,april,june,2026-04-02,30,161,,,True,True,0,,,,65f5e1bd-32f1-40ce-91de-dcbcfcf3a547
Product 200,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",6.34,dozen,available,june,january,2026-04-01,28,388,,,True,True,0,,,,4eac4993-e32a-475b-9b79-1be50ecaf713
